distance,integrated_intensity_Pa_mm
2305.0,50.145285227378444
2310.0,47.648788062300824
2315.0,45.55196360906526
2320.0,44.174704408446125
2325.0,44.06946341471832
2330.0,46.41382334298924
2335.0,50.221282167320865
2340.0,54.24080953363291
2345.0,57.93303688268093
2350.0,60.95487226243835
2355.0,63.11814458658286
2360.0,64.33377846782123
2365.0,64.56256865388123
2370.0,63.98112310602908
2375.0,62.976054291243855
2380.0,61.22130025576584
2385.0,58.71410896549479
2390.0,55.57398123422891
2395.0,51.9663916493747
2400.0,48.10701197074518
2405.0,44.573961466306514
2410.0,42.469685356781525
2415.0,42.51009674305912
2420.0,45.048303268344455
2425.0,48.04956052893715
2430.0,50.98305436548365
2435.0,53.783291407633456
2440.0,56.277199139750756
2445.0,58.184434625634964
2450.0,59.483696670744045
2455.0,60.16080770190401
2460.0,60.196088332951156
2465.0,59.62219508189189
2470.0,58.53603913069477
2475.0,57.14445556809026
2480.0,55.57549647572362
2485.0,53.92216343766201
2490.0,52.2215571735356
2495.0,50.61868526096307
2500.0,49.453054767616585
2505.0,49.69562584656964
2510.0,50.56047804058596
2515.0,51.61617072432669
2520.0,52.50973328685935
2525.0,53.09840071672854
2530.0,53.521501791229554
2535.0,53.80357772803406
2540.0,53.77495791791985
2545.0,53.81347040711393
2550.0,53.784704602557106
2555.0,53.38599430881663
2560.0,52.58540023132919
2565.0,51.383197936150204
2570.0,49.82336111886325
2575.0,47.99196020158322
2580.0,46.02567252008693
2585.0,44.27055567628988
2590.0,43.33567650336716
2595.0,42.97321009371963
2600.0,43.693282531599735
2605.0,44.80575705108706
2610.0,46.076511123993356
2615.0,47.86251074032255
2620.0,49.918608586313084
2625.0,51.85136729502716
2630.0,53.52704107328576
2635.0,54.849437798470525
2640.0,55.75144249612101
2645.0,56.19434390541257
2650.0,56.16540956283124
2655.0,55.675685582465626
2660.0,54.762345901866965
2665.0,53.5529343321184
2670.0,52.55244491003696
2675.0,52.118464655311364
2680.0,51.806588128514456
2685.0,51.566888547342735
2690.0,51.53150237506348
2695.0,51.93969409869193
2700.0,52.96807423909961
2705.0,54.582574082814396
2710.0,56.26625390429018
2715.0,57.71222621480172
2720.0,58.750790747835914
2725.0,59.269651249734814
2730.0,59.21985872705727
2735.0,58.81877909544652
2740.0,57.9062652425644
2745.0,56.40497943757856
2750.0,54.16042591304979
2755.0,51.55920898658806
2760.0,48.68949442818172
2765.0,45.6033369120596
2770.0,43.08046427846452
2775.0,42.10520050332561
2780.0,42.74383813466917
2785.0,44.79785704388333
2790.0,47.62900009469766
2795.0,50.74927328951671
2800.0,53.82887015971284
2805.0,56.65582319376671
2810.0,59.09639905341047
2815.0,61.10199925899097
2820.0,62.46093814738704
2825.0,63.081413506950426
2830.0,63.075128372479426
2835.0,62.61663373522988
2840.0,61.33185683646561
2845.0,59.338494913635955
2850.0,56.88449055929216
2855.0,54.286062615627145
2860.0,51.86762323273254
2865.0,50.64188171552681
2870.0,50.32471445815254
2875.0,50.27567928435898
2880.0,50.64047849223917
2885.0,51.78931075734419
2890.0,52.96072342345886
2895.0,54.00492072348783
2900.0,54.90917610993784
2905.0,55.66407122459328
2910.0,56.022394903429145
2915.0,55.772596115023696
2920.0,54.83631636423671
2925.0,53.278059156823765
2930.0,51.335212238849905
2935.0,49.11927348686479
2940.0,46.652363242773795
2945.0,44.25719309324714
2950.0,42.405081472505245
2955.0,42.57025205667091
2960.0,44.33759530579761
2965.0,46.52438749677748
2970.0,48.727188338370865
2975.0,50.72465312726384
2980.0,52.357058801701406
2985.0,53.436865993566826
2990.0,53.8579754278299
2995.0,53.679394183940566
3000.0,53.02137616798674
3005.0,52.01127681294812
3010.0,50.79252065860268
3015.0,49.62628866769424
3020.0,48.84115128195234
3025.0,48.294470553430244
3030.0,48.33845520378255
3035.0,49.269338879805076
3040.0,51.178211638517666
3045.0,53.243217915236826
3050.0,55.08712170472141
3055.0,56.53412521827954
3060.0,57.48937153129055
3065.0,57.92958485717908
3070.0,57.905567801901846
3075.0,57.86216764405134
3080.0,57.789482653665
3085.0,57.23845452118532
3090.0,56.33113512756644
3095.0,55.007497765672866
3100.0,53.37517496275843
3105.0,51.62122538940334
3110.0,49.91605601457063
3115.0,48.396146002323015
3120.0,47.37723624639036
3125.0,47.24426460057384
3130.0,48.55382633606913
3135.0,50.31358261872296
3140.0,52.050023368610475
3145.0,53.68684067899464
3150.0,55.18069215580271
3155.0,56.16198118434288
3160.0,56.832232286490374
3165.0,57.69973631124595
3170.0,58.525751986158326
3175.0,59.537583628535884
3180.0,60.48234667131273
3185.0,61.17034857759789
3190.0,61.45652484553842
3195.0,61.254854592997425
3200.0,60.561632634020306
3205.0,59.571403942800515
3210.0,58.413086516428386
3215.0,57.300984020980565
3220.0,55.92257160963077
3225.0,54.69687203624797
3230.0,53.93162317779371
3235.0,53.952311984893846
3240.0,53.85128020579286
3245.0,53.580550402168605
3250.0,53.22623937306017
3255.0,52.799989380117275
3260.0,52.22421288492463
3265.0,51.55476923077938
3270.0,51.34450452229483
3275.0,51.41607016118583
3280.0,51.47947194605346
3285.0,52.0509443690084
3290.0,53.39575373643348
3295.0,54.69239942256763
3300.0,55.45383315352478
3305.0,55.53221804489536
3310.0,55.08616916536476
3315.0,54.630046376219745
3320.0,53.84347684660939
3325.0,52.7248416902085
3330.0,51.42237723651167
3335.0,50.1400806787918
3340.0,49.68729667046901
3345.0,50.32788004519009
3350.0,51.573746717229405
3355.0,53.43409511035629
3360.0,55.82148035870758
3365.0,58.42406020041747
3370.0,60.80348505208381
3375.0,62.62633808379181
3380.0,63.72637605885608
3385.0,64.05202180985552
3390.0,63.60759257851516
3395.0,62.45972784283615
3400.0,60.67644306751674
3405.0,58.30700214436147
3410.0,55.91214630796433
3415.0,54.23491634168042
3420.0,52.725847258378465
3425.0,51.44764813810531
3430.0,50.40467581782721
3435.0,49.544717577667534
3440.0,48.941083315213326
3445.0,48.77798830006271
3450.0,49.0494947089664
3455.0,49.886925120265516
3460.0,51.06460359648501
3465.0,52.05853043071321
3470.0,52.848748527155315
3475.0,53.19802288445389
3480.0,53.10753276252022
3485.0,52.83547446233062
3490.0,52.6792860939212
3495.0,52.38132027392621
3500.0,51.99596833098148
3505.0,51.62304139983022
3510.0,51.3771397469463
3515.0,51.397296343932894
3520.0,51.7570855467597
3525.0,52.42455569050999
3530.0,53.79442938629353
3535.0,56.08067238137398
3540.0,58.45341071756432
3545.0,60.415035967510036
3550.0,61.75324629917782
3555.0,62.38814895861458
3560.0,62.333047052883465
3565.0,61.601266567185746
3570.0,60.15504970586674
3575.0,58.06493696565084
3580.0,55.733885992562655
3585.0,53.588443793176836
3590.0,51.5864764748254
3595.0,49.72062382866309
3600.0,48.046831499380666
3605.0,47.43247425033041
3610.0,47.50756922353986
3615.0,47.95562736828144
3620.0,48.9235431760001
3625.0,50.32183485502717
3630.0,51.875429752737354
3635.0,53.327655143548434
3640.0,54.65228271683224
3645.0,55.687311586189686
3650.0,56.273069732376854
3655.0,56.39048786194007
3660.0,56.35433523163874
3665.0,55.92891825706156
3670.0,55.052788745636455
3675.0,53.856782116057204
3680.0,52.73815833149037
3685.0,52.229951216886406
3690.0,52.28836455349676
3695.0,52.76483565812636
3700.0,53.37151299153065
3705.0,54.17980942737924
3710.0,55.71300785316336
3715.0,57.36338652521096
3720.0,58.92008290368789
3725.0,60.41453841101268
3730.0,61.65850599569337
3735.0,62.49132742253113
3740.0,62.97314894255093
3745.0,63.078451892450055
3750.0,62.56164914252356
3755.0,61.4138880046402
3760.0,59.732853834002704
3765.0,57.65601297536362
3770.0,55.334881248795156
3775.0,52.94109682633391
3780.0,51.01845900448201
3785.0,49.79723241094275
3790.0,49.73604622380569
3795.0,50.33136821361361
3800.0,51.654980520163846
3805.0,54.17231944798197
3810.0,56.572659523115306
3815.0,58.458656292333075
3820.0,59.658105652124135
3825.0,60.08436409368794
3830.0,59.729885426767744
